Time EST,Hourly alternating current system output(Wac),Hourly plane of array irradiance(W/m2),Hourly beam normal irradiance(W/m2),Hourly direct current array output(Wdc),Hourly diffuse irradiance(W/m2),Hourly ambient temperature(C),Hourly module temperature(C),Hourly windspeed(m/s),Hourly albedo values
2024-04-01 21:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-10.2,-10.2,2.6,0.13
2024-04-01 22:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-10.4,-10.4,2.7,0.13
2024-04-01 23:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-10.5,-10.5,2.9,0.13
2024-04-02 00:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-10.6,-10.6,3.0,0.13
2024-04-02 01:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-10.9,-10.9,2.8,0.13
2024-04-02 02:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-11.2,-11.2,2.4,0.13
2024-04-02 03:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-11.3,-11.3,2.1,0.13
2024-04-02 04:08:26.541229-04:00,0.168,9.654,121.0,0.277,9.0,-10.5,-10.324,2.4,0.13
2024-04-02 05:08:26.541229-04:00,5.715,148.199,662.0,6.042,40.0,-8.8,-6.104,3.1,0.13
2024-04-02 06:08:26.541229-04:00,14.729,306.396,832.0,15.409,56.0,-7.3,-1.867,3.7,0.13
2024-04-02 07:08:26.541229-04:00,20.52,401.489,800.0,21.427,80.0,-6.4,0.436,4.1,0.13
2024-04-02 08:08:26.541229-04:00,18.901,365.378,465.0,19.745,152.0,-5.9,0.256,4.2,0.13
2024-04-02 09:08:26.541229-04:00,18.217,352.599,388.0,19.034,171.0,-5.6,0.34,4.2,0.13
2024-04-02 10:08:26.541229-04:00,18.09,352.077,546.0,18.903,118.0,-5.3,0.542,4.3,0.13
2024-04-02 11:08:26.541229-04:00,10.889,217.311,257.0,11.419,129.0,-5.3,-1.713,4.3,0.13
2024-04-02 12:08:26.541229-04:00,3.41,75.565,126.0,3.647,48.0,-5.4,-4.174,4.3,0.13
2024-04-02 13:08:26.541229-04:00,0.715,38.326,276.0,0.846,22.0,-5.8,-5.371,4.1,0.13
2024-04-02 14:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-6.6,-6.6,3.8,0.13
2024-04-02 15:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-7.1,-7.1,3.7,0.13
2024-04-02 16:08:26.541229-04:00,0.0,0.0,0.0,0.0,0.0,-7.7,-7.7,4.6,0.13
